,COMPANY,SLOGAN,SectorId,URL,Telecommunication Services,GICS_SubIndustry,WORDS,Unnamed: 7,CSLOGANS
35,Alphabet Inc Class A,Don't Be Evil.,45,Alphabet Inc Class A,Information Technology,Internet Software & Services,3.0,,dont evil
36,Alphabet Inc Class C,Don't Be Evil.,45,Alphabet Inc Class C,Information Technology,Internet Software & Services,3.0,,dont evil
37,Altria Group Inc,We're A Company Moving Forward,30,Altria Group Inc,Consumer Staples,Tobacco,5.0,,compani move forward
38,Amazon.com Inc,Work Hard. Have Fun. Make History.,25,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,6.0,,work hard fun make histori
39,Ameren Corp,Focused Energy. For Life,55,Ameren Corp,Utilities,Multi-Utilities,4.0,,focus energi life
40,American Airlines Group,Going for great.,20,American Airlines Group,Industrials,Airlines,3.0,,go great
41,American Electric Power,"AEP, America's Energy Partner",55,American Electric Power,Utilities,Electric Utilities,4.0,,aep america energi partner
42,American Express Co,Don't Leave Home Without It,40,American Express Co,Financials,Consumer Finance,5.0,,dont leav home without
43,"American International Group, Inc.",We know money.,40,"American International Group, Inc.",Financials,Property & Casualty Insurance,3.0,,know money
44,American Tower Corp A,Where you want to be.,50,American Tower Corp A,Telecommunication Services,Specialized REITs,5.0,,
45,American Water Works Company Inc,The Authoritative Resource on Safe Water,55,American Water Works Company Inc,Utilities,Water Utilities,6.0,,authorit resourc safe water
46,Ameriprise Financial,Be Brilliant,40,Ameriprise Financial,Financials,Asset Management & Custody Banks,2.0,,brilliant
47,AmerisourceBergen Corp,Because It's All Right Here.,35,AmerisourceBergen Corp,Health Care,Health Care Distributors,5.0,,becaus right
48,Ametek,A Leading Global Manufacturer of Electronic Instruments and Electromechanical Devices,20,AMETEK Inc.,Industrials,Electrical Components & Equipment,10.0,,lead global manufactur electron instrument electromechan devic
49,Amgen Inc,To Serve Patients.,35,Amgen Inc.,Health Care,Biotechnology,3.0,,serv patient
50,Amphenol Corp A,Connecting tomorrow.,15,Amphenol Corp,Materials,Electronic Components,2.0,,connect tomorrow
51,Anadarko Petroleum Corp,Bringing Excellence to the Surface.,10,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,5.0,,bring excel surfac
52,"Analog Devices, Inc.",World leader in high performance signalprocessing.,45,"Analog Devices, Inc.",Information Technology,Semiconductors,7.0,,world leader high perform signalprocess
53,Anthem Inc.,"Together, we are transforming health care with trusted and caring solutions",35, ,Health Care,Managed Health Care,11.0,,togeth transform health trust solut
54,Aon plc,Insure your vision.,40,Aon plc,Financials,Insurance Brokers,3.0,,insur vision
55,Apache Corporation,Energy to Grow,10,Apache Corporation,Energy,Oil & Gas Exploration & Production,3.0,,energi grow
56,Apartment Investment & Mgmt,America Comes Home to Aimco,60,Apartment Investment & Management,Real Estate,Residential REITs,5.0,,america home aimco
57,Apple Computer,Everything is easier on a Mac,45,Apple Inc.,Information Technology,,,,everyth easier mac
58,Apple Inc.,Think Different.,45,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2.0,,think differ
59,Apple Inc.,"Once you go Mac, you'll never go back.",45,Apple Inc.,Information Technology,,,,onc go mac youll never go back
60,Applied Materials Inc,Apply it.,20,Applied Materials Inc.,Industrials,Semiconductor Equipment,2.0,,appli
61,Arby's,I'm thinking Arby's.,25,Arby's,Consumer Discretionary,,,,think arbi
62,ARCELOR , Steel solutions for a better world,15,,Materials,,,,steel solut better world
63,Archer-Daniels-Midland Co,Resourceful by nature,55,Archer-Daniels-Midland Co,Utilities,Agricultural Products,3.0,,resourc natur
64,Assurant Inc,Assurant. On your terms.,40,Assurant Inc.,Financials,Multi-line Insurance,4.0,,assur term
65,AT&T , The World's Networking Company,50,,Telecommunication Services,,,,world network compani
66,AT&T Inc,Your world. Delivered.,50,AT&T Inc.,Telecommunication Services,Integrated Telecommunication Services,3.0,,world deliv
67,Australian Broadcasting Corporation,It's Your ABC.,25,Australian Broadcasting Corporation,Consumer Discretionary,,,,abc
68,Autodesk Inc,Design your world.,45,Autodesk Inc.,Information Technology,Application Software,3.0,,design world
69,Automatic Data Processing,The Business behind business.,45,Automatic Data Processing,Information Technology,Internet Software & Services,4.0,,busi behind busi
70,AutoNation Inc,Driven to be the best,25,AutoNation Inc,Consumer Discretionary,,5.0,,driven best
71,AutoZone Inc,Get in the Zone,25,AutoZone Inc,Consumer Discretionary,Specialty Stores,4.0,,get zone
72,Avago Technologies,"Your Imagination, Our innovation",25,Avago Technologies,Consumer Discretionary,,4.0,,imagin innov
73,"AvalonBay Communities, Inc.",Appreciating value,60,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,2.0,,appreci valu
74,Avery Dennison Corp,"Inspired Brands, Intelligent World",20,Avery Dennison Corp,Industrials,Paper Packaging,4.0,,inspir brand intellig world
75,Avis Rental Cars,We Try Harder,25,,Consumer Discretionary,,,,tri harder
76,Bajaj, Auto Inspiring Confidence,20,,Industrials,,,,auto inspir confid
77,Baker Hughes Inc,"Enabling safe, affordable energy, improving people's lives",10,"Baker Hughes, a GE Company",Energy,Oil & Gas Equipment & Services,7.0,,enabl safe afford energi improv peopl live
78,Ball Corp,Products that reflect an innovation mindset.,15,Ball Corp,Materials,Metal & Glass Containers,6.0,,product reflect innov mindset
79,Bank of America Corp,Think what we can do for you,40,Bank of America Corp,Financials,Diversified Banks,7.0,,think
80,Barclays , Fluent in Finance; Its our business to know your business,40,,Financials,,,,fluent financ busi know busi
81,Bard (C.R.) Inc.,Advancing Lives and the Delivery of Health Care,35,Bard (C.R.) Inc.,Health Care,,8.0,,advanc live deliveri health
82,Baxalta,"Your Life, Our Inspiration",35,Baxalta,Health Care,,4.0,,life inspir
83,Baxter International Inc.,Making a meaningful difference in patients' lives,35,Baxter International Inc.,Health Care,Health Care Equipment,7.0,,make meaning differ patient live
84,BB&T Corporation,More than writing checks or making deposits,40,BB&T Corporation,Financials,Regional Banks,7.0,,write check make deposit
85,Be Fearless. , SYMANTEC,45,,Information Technology,,,,symantec
86,Becton Dickinson,Helping all people live healthy lives,35,Becton Dickinson,Health Care,Health Care Equipment,6.0,,help peopl live healthi live
87,Bed Bath & Beyond,Everything to Entertain,25,Bed Bath & Beyond,Consumer Discretionary,,3.0,,everyth entertain
88,Berkshire Hathaway,The Customer Is Always Right!,40,Berkshire Hathaway,Financials,Multi-Sector Holdings,5.0,,custom alway right
89,Best Buy Co. Inc.,Expert Service. Unbeatable Price.,25,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,4.0,,expert servic unbeat price
90,BIOCON , The difference lies in our DNA,35,,Health Care,,,,differ lie dna
91,BIOGEN IDEC Inc.,Transforming discovery into care.,35,Biogen Inc.,Health Care,Biotechnology,4.0,,transform discoveri
92,BlackRock,Opportunity favors the prepared mind,40,BlackRock,Financials,Asset Management & Custody Banks,5.0,,opportun favor prepar mind
93,Block H&R,You got people.,40,Block H&R,Financials,Consumer Finance,3.0,,got peopl
94,BLOGGER.COM , Push Button Publishing,25,,Consumer Discretionary,,,,push button publish
95,BLOOMINGDALES , Like no other store in the world,25,,Consumer Discretionary,,,,like store world
96,BluestarAC, BREATHE EASY,20,,Industrials,,,,breath easi
97,BMW,The ultimate driving machine,20,https://www.bmwgroup.com/en.html,Industrials,,,,ultim drive machin
98,BMW , The Ultimate Driving Machine,20,,Industrials,,,,ultim drive machin
99,Boeing Company,Forever New Frontiers,20,Boeing Company,Industrials,Aerospace & Defense,3.0,,forev new frontier
100,BorgWarner,Feel good about driving,20,BorgWarner,Industrials,Auto Parts & Equipment,4.0,,feel good drive
101,Bose Corporation,Better sound through research.,25,Bose Corporation,Consumer Discretionary,,,,better sound research
102,Boston Properties,Experienced leadership.,60,Boston Properties,Real Estate,Office REITs,2.0,,experienc leadership
103,Boston Scientific,Delivering what's next.,35,Boston Scientific,Health Care,Health Care Equipment,3.0,,deliv next
104,BPCL , Pure for Sure,10,,Energy,,,,pure sure
105,Bristol-Myers Squibb,extending and enhancing human life,35,Bristol-Myers Squibb,Health Care,Health Care Distributors,5.0,,extend enhanc human life
106,British airways , The Way to Fly.,20,,Industrials,,,,way fli
107,British Petroleum , Beyond Petroleum,10,,Energy,,,,beyond petroleum
108,British Rail,We're getting there.,25,British Rail,Consumer Discretionary,,,,get
109,Brooke Bond, Cheers your senses,30,,Consumer Staples,,,,cheer sens
110,Brown-Forman Corporation,We enrich the experience of life.,30,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,6.0,,enrich experi life
111,Brylcreem,A little dab'll do ya!,25,Brylcreem,Consumer Discretionary,,,,littl dabll
112,BSNL, Connecting India,50,,Telecommunication Services,,,,connect india
113,Burger King,Aren't You Hungry for Burger King now?,25,Burger King,Consumer Discretionary,,,,arent hungri burger king
114,Burger King,Have it your way.,25,Burger King,Consumer Discretionary,,,,way
115,Burger King,Home of the Whopper.,25,Burger King,Consumer Discretionary,,,,home whopper
116,BUSINESS STANDARD, When you're sure,25,,Consumer Discretionary,,,,sure
117,BUSINESS TODAY , For Managing Tomorrow,25,,Consumer Discretionary,,,,manag tomorrow
118,BUSINESS WORLD , Play the Game,25,,Consumer Discretionary,,,,play game
119,C A, THE SOFTWARE THAT MANAGES e-BUSINESS,45,,Information Technology,,,,softwar manag ebusi
120,C. H. Robinson Worldwide,Get You There Faster.,20,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,4.0,,get faster
121,"CA, Inc.",Agility made possible,45,"CA, Inc.",Information Technology,Systems Software,3.0,,agil made possibl
122,Cablevision Systems Corp.,Reach Out and Touch Someone.,25,Cablevision Systems Corp.,Consumer Discretionary,,5.0,,reach touch someon
123,Cabot Oil & Gas,"Clean Energy, Stronger Communities",10,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,4.0,,clean energi stronger commun
124,Calvin Klein's Obsession,Between love and madness lies Obsession.,25,Calvin Klein's Obsession,Consumer Discretionary,,,,love mad lie obsess
125,Camel cigarettes,I'd walk a mile for a Camel.,25,Camel cigarettes,Consumer Discretionary,,,,id walk mile camel
126,Cameron International Corp.,Raising Performance. Together.,20,Cameron International Corp.,Industrials,,3.0,,rais perform togeth
127,Campbell Soup,It's Amazing What Soup Can Do!,30,Campbell Soup,Consumer Staples,Packaged Foods & Meats,6.0,,amaz soup
128,Campbell's Soup,M'm! M'm! Good!,30,Campbell's Soup,Consumer Staples,,,,mm mm good
129,Capital One Financial,What's in your wallet?,40,Capital One Financial,Financials,Consumer Finance,4.0,,wallet
130,Cardinal Health Inc.,Essential to care,35,Cardinal Health Inc.,Health Care,Health Care Distributors,3.0,,essenti
131,Caribou Coffee,Life is short. Stay awake for it!,30,Caribou Coffee,Consumer Staples,,,,life short stay awak
132,Carl's Jr.,"If it doesn't get all over the place, it doesn't belong in your face.",25,Carl's Jr.,Consumer Discretionary,,,,doesnt get place doesnt belong
133,Carlsberg,Probably the best lager in the world.,30,Carlsberg,Consumer Staples,,,,probabl best lager world
134,Carmax Inc,The Way Car Buying Should Be,25,Carmax Inc,Consumer Discretionary,Specialty Stores,6.0,,way car buy
135,Carnival Corp.,Fun For All. All For Fun,25,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",6.0,,fun fun
136,Cartoon Network,The Best Place for Cartoons.,25,Cartoon Network,Consumer Discretionary,,,,best place cartoon
137,Caterpillar Inc.,Earthmoving solutions for today's challenges.,20,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,5.0,,earthmov solut today challeng
138,CBRE Group,Local Real Estate. Worldwide,60,CBRE Group,Real Estate,Real Estate Services,4.0,,local real estat worldwid
139,CBS,We've got the touch.,25,CBS,Consumer Discretionary,Broadcasting,,,weve got touch
140,CBS Corp.,Only CBS,25,CBS Corp.,Consumer Discretionary,Broadcasting,2.0,,onli cb
141,CEAT ,Making Mobility Safer and Smarter. Everyday,25,,Consumer Discretionary,,,,make mobil safer smarter everyday
142,Celgene Corp.,Committed to improving the lives of patients worldwide,35,Celgene Corp.,Health Care,Biotechnology,8.0,,commit improv live patient worldwid
143,Centene Corporation,Better health outcomes at lower costs,35,Centene Corporation,Health Care,Managed Health Care,6.0,,better health outcom lower cost
144,CenterPoint Energy,Always there.,55,CenterPoint Energy,Utilities,Multi-Utilities,2.0,,alway
145,CenturyLink Inc,Stronger Connected,50,CenturyLink Inc,Telecommunication Services,Integrated Telecommunication Services,2.0,,stronger connect
146,Cerner,Anticipate Innovate Accelerate,45,Cerner,Information Technology,Health Care Technology,3.0,,anticip innov acceler
147,CF Industries Holdings Inc,Where chemistry grows,15,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,3.0,,chemistri grow
148,Charles Schwab Corporation,Helping investors help themselves,40,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,4.0,,help investor help themselv
149,Charmin,Please don't squeeze the Charmin,25,,Consumer Discretionary,Household Products,,,pleas dont squeez charmin
150,Chesapeake Energy,Natural Gas Wins the Day,10,Chesapeake Energy,Energy,,5.0,,natur ga win day
151,CHEVROLET AVEO , When Good is not good enough.,25,,Consumer Discretionary,,,,good good enough
152,Chevron Corp.,"Finding newer, cleaner ways to power the world.",10,Chevron Corp.,Energy,Integrated Oil & Gas,8.0,,find newer cleaner way power world
153,Chevron Corporation , Human Energy,10,,,,,,human energi
154,Chick-fil-A,Eat Mor Chikin!,25,Chick-fil-A,Consumer Discretionary,,,,eat mor chikin
155,CHIP , Intelligent Computing,45,,Information Technology,,,,intellig comput
156,Chipotle Mexican Grill,Food with integrity,25,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,3.0,,food integr
157,Chubb Limited,Chubb. Insured.,40,Chubb Limited,Financials,Property & Casualty Insurance,2.0,,chubb insur
158,Chuck E. Cheese's,Where a kid can be a kid.,25,Chuck E. Cheese's,Consumer Discretionary,,,,kid kid
159,Church & Dwight,The Standard of Purity,25,Church & Dwight,Consumer Discretionary,Household Products,4.0,,standard puriti
160,CIGNA Corp.,A Business of Caring,35,CIGNA Corp.,Health Care,Managed Health Care,4.0,,busi
161,Cimarex Energy,Stronger for Good Time and Bad,10,Cimarex Energy,Energy,Oil & Gas Exploration & Production,6.0,,stronger good time bad
162,Cincinnati Financial,Everything Insurance Should Be,40,Cincinnati Financial,Financials,Property & Casualty Insurance,4.0,,everyth insur
163,Cintas Corporation,Ready for the Workday,20,Cintas Corporation,Industrials,Diversified Support Services,4.0,,readi workday
164,CIPLA , Caring for life,35,,Health Care,,,,life
165,Cisco Systems,Welcome To The Human Network,45,Cisco Systems,Information Technology,Communications Equipment,5.0,,welcom human network
166,Citibank,your city never sleeps,40,,Financials,,,,never sleep
167,Citigroup Inc.,Where money lives,40,Citigroup Inc.,Financials,Diversified Banks,8.0,,money live
168,Citizens Financial Group,Good Banking Is Good Citizenship,40,  ,Financials,Regional Banks,5.0,,good bank good citizenship
169,Citrix Systems,Simplicity is power,40,Citrix Systems,Financials,,3.0,,simplic power
170,CME Group Inc.,How The World Advances,40,CME Group Inc.,Financials,Financial Exchanges & Data,4.0,,world advanc
171,CMS Energy,Count on Us.,55,CMS Energy,Utilities,Multi-Utilities,3.0,,count us
172,CNBC , Profit from it,25,First in Business Worldwide,Consumer Discretionary,,,,profit
173,Coach Inc.,Give her Coach,25,Coach Inc.,Consumer Discretionary,,3.0,,give coach
174,Coca-Cola,Always Coca-Cola.,30,Coca-Cola,Consumer Staples,,,,alway cocacola
175,Coca-Cola,Coca-Cola. Enjoy!,30,Coca-Cola,Consumer Staples,,,,cocacola enjoy
176,Coca-Cola,Coke is it!,30,Coca-Cola,Consumer Staples,,,,coke
177,Coca-Cola,Life tastes good.,30,Coca-Cola,Consumer Staples,,,,life tast good
178,Coca-Cola,Make It Real.,30,Coca-Cola,Consumer Staples,,,,make real
179,Coca-Cola,Open Happiness.,30,Coca-Cola,Consumer Staples,,,,open happi
180,Coca-Cola,Real.,30,Coca-Cola,Consumer Staples,,,,real
181,Coca-Cola,The Coke Side of Life.,30,Coca-Cola,Consumer Staples,,,,coke side life
182,Coca-Cola,The pause that refreshes.,30,Coca-Cola,Consumer Staples,,,,paus refresh
183,Coca-Cola,The Real Thing,30,Coca-Cola,Consumer Staples,,,,real thing
184,Coca-Cola Enterprises,Things go better with Coke.,30,Coca-Cola,Consumer Staples, ,5.0,,thing go better coke
185,Cognizant Technology Solutions,Keep Challenging,45,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,2.0,,keep challeng
186,Colgate-Palmolive,World of Care,25,Colgate-Palmolive,Consumer Discretionary,Household Products,3.0,,world
187,Columbia Pipeline Group Inc,"Significant Scale, Unparalleled Footprint",20,Columbia Pipeline Group Inc,Industrials,,4.0,,signific scale unparallel footprint
188,Comcast A Corp,Ready to work.,25,Comcast Corp.,Consumer Discretionary,Cable & Satellite,3.0,,readi work
189,Comerica Inc.,Committed to Business,40,Comerica Inc.,Financials,Diversified Banks,3.0,,commit busi
190,CrOMPTRON and GREAVES , Everyday Solutions,10,,,,,,everyday solut
191,ConAgra Foods Inc.,ConAgra. The right kind of food company,30,Conagra Brands,Consumer Staples,Packaged Foods & Meats,7.0,,conagra right kind food compani
192,Concho Resources,Great Place To Work,10,Concho Resources,Energy,Oil & Gas Exploration & Production,4.0,,great place work
193,ConocoPhillips,Energy for tomorrow.,10,ConocoPhillips,Energy,Oil & Gas Exploration & Production,3.0,,energi tomorrow
194,Consolidated Edison,"Energy, efficiency, expertise",10,Consolidated Edison,Energy,Electric Utilities,3.0,,energi effici expertis
195,Constellation Brands,Tastes for life,30,Constellation Brands,Consumer Staples,Distillers & Vintners,3.0,,tast life
196,Corning Inc.,Discovering Beyond Imagination,20,Corning Inc.,Industrials,Electronic Components,3.0,,discov beyond imagin
197,Corona,Every bubble's passed its fizzical.,30,Corona,Consumer Staples,Packaged Foods & Meats,,,everi bubbl pass fizzic
198,Costco Co.,Simplifying home and life,30,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,4.0,,simplifi home life
199,Council for Cable Information,"Cable. It's not just more choice, it's your choice.",25,Council for Cable Information,Consumer Discretionary,Cable & Satellite,,,cabl choic choic
200,Count Chocula,I vant to eat your cereal!,30,Count Chocula,Consumer Staples,,,,vant eat cereal
201,Cow's milk (for the California Milk Processor Board),Got Milk?,30,Cow's milk (for the California Milk Processor Board),Consumer Staples,,,,got milk
202,Cremo cigars by American Tobacco,There is no spit in Cremo!,30,Cremo cigars by American Tobacco,Consumer Staples,food beverage and tobacco,,,spit cremo
203,Crocodile, Tough Guys,25,,Consumer Discretionary,,,,tough guy
204,Crown Castle International Corp.,Providing Wireless Infrastructure in Prime Locations,50,Crown Castle International Corp.,Telecommunication Services,Specialized REITs,6.0,,provid wireless infrastructur prime locat
205,CSRA Inc.,Enduring Values. Inspired Performance.,45,CSRA Inc.,Information Technology,,4.0,,endur valu inspir perform
206,CSX Corp.,How tomorrow moves.,20,CSX Corp.,Industrials,Railroads,3.0,,tomorrow move
207,Cummins Inc.,Making people's lives better by unleashing the power of Cummins.,20,Cummins Inc.,Industrials,Industrial Machinery,10.0,,make peopl live better unleash power cummin
208,CVS Caremark Corp.,Health is everything,35,CVS Health,Health Care,Drug Retail,3.0,,health everyth
209,D. R. Horton,America's Builder,25,D. R. Horton,Consumer Discretionary,Homebuilding,2.0,,america builder
210,Danaher Corp.,Invent.,20,Danaher Corp.,Industrials,Health Care Equipment,1.0,,invent
211,Darden Restaurants,To nourish and delight everyone we serve,25,Darden Restaurants,Consumer Discretionary,Restaurants,7.0,,nourish delight everyon serv
212,DaVita Inc.,Bringing quality to life,35,DaVita Inc.,Health Care,Health Care Facilities,4.0,,bring qualiti life
213,DeBeers,A diamond is forever.,15,DeBeers,Materials,,,,diamond forev
214,Deere & Co.,Nothing runs like a Deere.,20,Deere & Co.,Industrials,Agricultural & Farm Machinery,5.0,,noth run like deer
215,Dell Computer,Easy as Dell,45,,Information Technology,,,,easi
216,Delphi Automotive,Partner of Choice.,20,Delphi Automotive,Industrials,,3.0,,partner choic
217,Delta Air Lines,Keep Climbing.,20,Delta Air Lines Inc.,Industrials,Airlines,2.0,,keep climb
218,Dentsply Sirona,For better dentistry.,35,Dentsply Sirona,Health Care,Health Care Supplies,3.0,,better dentistri
219,Deutsche Bank , A Passion to Perform,40,,Financials,,,,passion perform
220,Devon Energy Corp.,Commitment runs deep.,10,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,3.0,,commit run deep
221,DHL,We keep your promises.,20,DHL,Industrials,,,,keep promis
222,DHL, We move the world,20,DHL,Industrials,,,,move world
223,Diamond Offshore Drilling,Hooked On Safety,10,Diamond Offshore Drilling,Energy,,3.0,,hook safeti
224,DIGIT ,"Save money, without thinking about it.",40,,Financials,,,,save money without think
225,Discover Financial Services,There's always something more to Discover,40,Discover Financial Services,Financials,Consumer Finance,6.0,,alway someth discov
226,Discovery Communications-A,"Let's All Discover, Why No Myth Is Safe",25,Discovery Inc. Class A,Consumer Discretionary,Cable & Satellite,8.0,,let discov whi myth safe
227,Discovery Communications-C,"Let's All Discover, Why No Myth Is Safe",25,Discovery Inc. Class C,Consumer Discretionary,Cable & Satellite,8.0,,let discov whi myth safe
228,Dollar General,"Save Time, Save Money, Everyday.",25,Dollar General,Consumer Discretionary,General Merchandise Stores,5.0,,save time save money everyday
229,Dollar Tree,Everything's $1,25,Dollar Tree,Consumer Discretionary,General Merchandise Stores,2.0,,everyth 1
230,Dominion Resources,What we do everyday Powers you everyday,55,Dominion Energy,Utilities,Electric Utilities,7.0,,everyday power everyday
231,Domino's Pizza,"Get the door, it's Domino's!",25,Domino's Pizza,Consumer Discretionary,,,,get domino
232,Domino's Pizza,You got 30 minutes.,25,Domino's Pizza,Consumer Discretionary,,,,got 30
233,Dover Corp.,redefining what's possible,20,Dover Corp.,Industrials,Industrial Machinery,3.0,,redefin possibl
234,Dow Chemical,Living. Improved Daily.,15,DowDuPont,Materials,Diversified Chemicals,3.0,,live improv daili
235,Dr Pepper Snapple Group,We do things with flavor,25,Dr Pepper Snapple Group,Consumer Discretionary,,5.0,,thing flavor
236,DR. REDDY'S LABORATORIES , Life. Research. Hope,35,,Health Care,,,,life research hope
237,DTE Energy Co.,For all the energy you'll ever need.,55,DTE Energy Co.,Utilities,Multi-Utilities,7.0,,energi youll ever need
238,Du Pont (E.I.),The Miracles of Science,15,Du Pont (E.I.),Materials,,4.0,,miracl scienc
239,Duke Energy,Powering and empowering our communities,55,Duke Energy,Utilities,Electric Utilities,5.0,,power empow commun
240,Dun & Bradstreet,committed to your success.,45,Dun & Bradstreet,Information Technology,,4.0,,commit success
241,Duracell,You can't top the copper top.,25,Duracell,Consumer Discretionary,,,,cant top copper top
242,E*Trade,Get high rates without the risks.,40,E*Trade,Financials,Investment Banking & Brokerage,6.0,,get high rate without risk
243,Eastman Chemical,Where Chemistry and Innovation come together.,15,Eastman Chemical,Materials,Diversified Chemicals,6.0,,chemistri innov togeth
244,Eaton Corporation,Powering Business Worldwide,20,Eaton Corporation,Industrials,Electrical Components & Equipment,3.0,,power busi worldwid
245,EBAY , The World's Online Market Place,25,,Consumer Discretionary,,,,world onlin market place
246,eBay Inc.,"Buy it, sell it, love it",45,eBay Inc.,Information Technology,Internet Software & Services,6.0,,buy sell love
247,Ecolab Inc.,The Global Leader in Commercial and Sanitizing Solutions,15,Ecolab Inc.,Materials,Specialty Chemicals,8.0,,global leader commerci sanit solut
248,Edison Int'l,Leading the way in electricity.,55,Edison Int'l,Utilities,Electric Utilities,5.0,,lead way electr
249,Edwards Lifesciences,Global Leader in the Science of Heart Valves and Hemodynamic Monitoring,35,Edwards Lifesciences,Health Care,Health Care Equipment,11.0,,global leader scienc heart valv hemodynam monitor
250,Electronic Arts,If it's in the game. It's in the game.,45,Electronic Arts,Information Technology,Home Entertainment Software,9.0,,game game
251,EMC Corp.,Where information lives.,45,EMC Corp.,Information Technology,,3.0,,inform live
252,Emerson Electric Company,Consider it solved.,20,Emerson Electric Company,Industrials,Electrical Components & Equipment,3.0,,consid solv
